[s],CH2[V],CH3[V]
-2.0000E-03,6.05469E-02,-7.10937E-04
-1.9960E-03,5.58594E-02,-2.26562E-04
-1.9920E-03,5.03906E-02,-2.73437E-04
-1.9880E-03,5.74219E-02,-6.32812E-04
-1.9840E-03,5.42969E-02,-1.08594E-03
-1.9800E-03,5.19531E-02,-8.20312E-04
-1.9760E-03,5.03906E-02,-5.39062E-04
-1.9720E-03,5.42969E-02,2.10938E-04
-1.9680E-03,6.36719E-02,-1.17188E-04
-1.9640E-03,5.82031E-02,7.81250E-06
-1.9600E-03,5.58594E-02,-5.07812E-04
-1.9560E-03,6.67969E-02,-1.07031E-03
-1.9520E-03,5.74219E-02,-1.50781E-03
-1.9480E-03,5.50781E-02,-1.53906E-03
-1.9440E-03,4.80469E-02,-1.58594E-03
-1.9400E-03,5.42969E-02,-5.39062E-04
-1.9360E-03,5.27344E-02,-5.23437E-04
-1.9320E-03,4.72656E-02,-3.04688E-04
-1.9280E-03,4.25781E-02,-1.32812E-04
-1.9240E-03,4.25781E-02,-5.39062E-04
-1.9200E-03,4.64844E-02,-3.98437E-04
-1.9160E-03,5.89844E-02,1.64063E-04
-1.9120E-03,5.27344E-02,-2.10938E-04
-1.9080E-03,5.66406E-02,-7.81250E-06
-1.9040E-03,4.72656E-02,-4.92187E-04
-1.9000E-03,4.64844E-02,-4.92187E-04
-1.8960E-03,4.49219E-02,-2.89062E-04
-1.8920E-03,4.80469E-02,-4.14062E-04
-1.8880E-03,4.25781E-02,-4.60937E-04
-1.8840E-03,4.25781E-02,-2.26562E-04
-1.8800E-03,3.86719E-02,-4.45312E-04
-1.8760E-03,4.02344E-02,-5.85937E-04
-1.8720E-03,4.17969E-02,-1.00781E-03
-1.8680E-03,4.72656E-02,-7.73437E-04
-1.8640E-03,5.50781E-02,-4.45312E-04
-1.8600E-03,4.33594E-02,-7.10937E-04
-1.8560E-03,4.33594E-02,-3.04688E-04
-1.8520E-03,5.58594E-02,-3.98437E-04
-1.8480E-03,6.13281E-02,-1.00781E-03
-1.8440E-03,5.42969E-02,-1.02344E-03
-1.8400E-03,6.13281E-02,-5.23437E-04
-1.8360E-03,6.67969E-02,-6.48437E-04
-1.8320E-03,6.28906E-02,-5.39062E-04
-1.8280E-03,7.07031E-02,-1.13281E-03
-1.8240E-03,6.99219E-02,-1.64844E-03
-1.8200E-03,5.74219E-02,-1.27344E-03
-1.8160E-03,5.97656E-02,-3.98437E-04
-1.8120E-03,6.05469E-02,-3.20312E-04
-1.8080E-03,5.74219E-02,-7.26562E-04
-1.8040E-03,5.82031E-02,-8.20312E-04
-1.8000E-03,5.89844E-02,-1.17969E-03
-1.7960E-03,5.58594E-02,-5.54687E-04
-1.7920E-03,5.19531E-02,-6.32812E-04
-1.7880E-03,5.19531E-02,-7.73437E-04
-1.7840E-03,5.19531E-02,-3.04688E-04
-1.7800E-03,5.74219E-02,-5.70312E-04
-1.7760E-03,6.91406E-02,-3.82812E-04
-1.7720E-03,6.91406E-02,-9.92187E-04
-1.7680E-03,6.44531E-02,-1.48437E-04
-1.7640E-03,5.19531E-02,-8.20312E-04
-1.7600E-03,5.03906E-02,-8.98437E-04
-1.7560E-03,5.50781E-02,1.32813E-04
-1.7520E-03,5.97656E-02,-7.81250E-06
-1.7480E-03,7.14844E-02,8.20313E-04
-1.7440E-03,6.52344E-02,-4.14062E-04
-1.7400E-03,7.14844E-02,1.01563E-04
-1.7360E-03,7.46094E-02,-8.04687E-04
-1.7320E-03,7.77344E-02,5.46875E-05
-1.7280E-03,6.67969E-02,-2.34375E-05
-1.7240E-03,6.60156E-02,1.79688E-04
-1.7200E-03,6.05469E-02,-2.26562E-04
-1.7160E-03,6.21094E-02,8.59375E-05
-1.7120E-03,6.75781E-02,6.01563E-04
-1.7080E-03,6.36719E-02,4.29688E-04
-1.7040E-03,5.50781E-02,-3.90625E-05
-1.7000E-03,5.27344E-02,1.48438E-04
-1.6960E-03,4.96094E-02,1.32813E-04
-1.6920E-03,4.64844E-02,3.82813E-04
-1.6880E-03,4.49219E-02,7.89062E-04
-1.6840E-03,4.17969E-02,8.04688E-04
-1.6800E-03,4.57031E-02,5.70313E-04
-1.6760E-03,4.33594E-02,7.10938E-04
-1.6720E-03,4.72656E-02,6.17188E-04
-1.6680E-03,4.88281E-02,2.26563E-04
-1.6640E-03,5.27344E-02,5.54688E-04
-1.6600E-03,5.11719E-02,2.42188E-04
-1.6560E-03,4.49219E-02,1.64063E-04
-1.6520E-03,4.25781E-02,7.03125E-05
-1.6480E-03,5.19531E-02,7.10938E-04
-1.6440E-03,5.27344E-02,6.32813E-04
-1.6400E-03,6.13281E-02,-4.29687E-04
-1.6360E-03,6.60156E-02,-5.54687E-04
-1.6320E-03,7.14844E-02,-1.03906E-03
-1.6280E-03,7.61719E-02,-1.46094E-03
-1.6240E-03,7.22656E-02,-1.07031E-03
-1.6200E-03,5.82031E-02,-6.32812E-04
-1.6160E-03,6.28906E-02,-3.90625E-05
-1.6120E-03,6.28906E-02,2.42188E-04
-1.6080E-03,5.89844E-02,2.42188E-04
-1.6040E-03,5.11719E-02,-7.81250E-06
-1.6000E-03,4.10156E-02,-2.26562E-04
-1.5960E-03,4.80469E-02,-5.39062E-04
-1.5920E-03,5.66406E-02,-3.90625E-05
-1.5880E-03,5.42969E-02,7.81250E-06
-1.5840E-03,4.96094E-02,5.46875E-05
-1.5800E-03,4.33594E-02,4.14063E-04
-1.5760E-03,4.88281E-02,-1.01562E-04
-1.5720E-03,4.33594E-02,-5.39062E-04
-1.5680E-03,4.72656E-02,-4.45312E-04
-1.5640E-03,4.88281E-02,2.10938E-04
