[s],CH2[V],CH3[V]
-3.9600E-03,6.21094E-02,5.07813E-04
-3.9560E-03,5.74219E-02,3.98438E-04
-3.9520E-03,5.89844E-02,3.04688E-04
-3.9480E-03,5.97656E-02,-7.10937E-04
-3.9440E-03,6.05469E-02,3.82813E-04
-3.9400E-03,7.14844E-02,1.64063E-04
-3.9360E-03,6.44531E-02,-6.32812E-04
-3.9320E-03,5.97656E-02,-3.98437E-04
-3.9280E-03,4.96094E-02,-3.35937E-04
-3.9240E-03,4.72656E-02,-2.26562E-04
-3.9200E-03,4.88281E-02,-5.39062E-04
-3.9160E-03,6.28906E-02,-3.67187E-04
-3.9120E-03,5.74219E-02,-4.92187E-04
-3.9080E-03,6.36719E-02,-4.60937E-04
-3.9040E-03,5.58594E-02,-9.60937E-04
-3.9000E-03,6.44531E-02,-1.25781E-03
-3.8960E-03,8.00781E-02,-5.23437E-04
-3.8920E-03,7.46094E-02,-1.05469E-03
-3.8880E-03,7.77344E-02,-1.07031E-03
-3.8840E-03,6.91406E-02,-1.08594E-03
-3.8800E-03,6.44531E-02,-1.19531E-03
-3.8760E-03,5.82031E-02,-8.20312E-04
-3.8720E-03,5.66406E-02,-1.46094E-03
-3.8680E-03,6.52344E-02,-1.46094E-03
-3.8640E-03,7.53906E-02,-6.32812E-04
-3.8600E-03,6.83594E-02,-3.04688E-04
-3.8560E-03,5.58594E-02,-6.01562E-04
-3.8520E-03,5.74219E-02,-2.34375E-05
-3.8480E-03,5.35156E-02,-6.01562E-04
-3.8440E-03,4.96094E-02,-1.08594E-03
-3.8400E-03,5.35156E-02,-3.51563E-04
-3.8360E-03,5.03906E-02,3.04688E-04
-3.8320E-03,5.27344E-02,-3.82812E-04
-3.8280E-03,5.89844E-02,1.32813E-04
-3.8240E-03,6.28906E-02,3.35938E-04
-3.8200E-03,6.60156E-02,7.89062E-04
-3.8160E-03,7.77344E-02,-5.23437E-04
-3.8120E-03,7.22656E-02,-8.67187E-04
-3.8080E-03,6.28906E-02,-1.01562E-04
-3.8040E-03,6.05469E-02,-5.70312E-04
-3.8000E-03,5.82031E-02,2.57813E-04
-3.7960E-03,5.27344E-02,6.17188E-04
-3.7920E-03,5.03906E-02,5.85938E-04
-3.7880E-03,5.74219E-02,2.57813E-04
-3.7840E-03,4.88281E-02,-7.03125E-05
-3.7800E-03,4.10156E-02,1.48438E-04
-3.7760E-03,4.02344E-02,-8.59375E-05
-3.7720E-03,4.96094E-02,5.46875E-05
-3.7680E-03,5.97656E-02,6.95312E-04
-3.7640E-03,6.67969E-02,-1.48437E-04
-3.7600E-03,5.97656E-02,-4.92187E-04
-3.7560E-03,6.44531E-02,-8.67187E-04
-3.7520E-03,4.96094E-02,-1.27344E-03
-3.7480E-03,4.57031E-02,-1.63281E-03
-3.7440E-03,4.02344E-02,-9.29687E-04
-3.7400E-03,3.47656E-02,-5.54687E-04
-3.7360E-03,3.71094E-02,-6.48437E-04
-3.7320E-03,4.96094E-02,-1.79687E-04
-3.7280E-03,5.19531E-02,1.95313E-04
-3.7240E-03,5.66406E-02,3.04688E-04
-3.7200E-03,4.80469E-02,2.57813E-04
-3.7160E-03,5.19531E-02,6.79688E-04
-3.7120E-03,5.42969E-02,-7.03125E-05
-3.7080E-03,4.80469E-02,-5.54687E-04
-3.7040E-03,4.10156E-02,-7.57812E-04
-3.7000E-03,4.17969E-02,-1.33594E-03
-3.6960E-03,4.57031E-02,-3.51563E-04
-3.6920E-03,5.97656E-02,-8.51562E-04
-3.6880E-03,5.97656E-02,-1.75781E-03
-3.6840E-03,5.66406E-02,-1.19531E-03
-3.6800E-03,5.58594E-02,-4.60937E-04
-3.6760E-03,5.42969E-02,-2.42187E-04
-3.6720E-03,5.11719E-02,-8.98437E-04
-3.6680E-03,4.80469E-02,-5.23437E-04
-3.6640E-03,5.50781E-02,-4.29687E-04
-3.6600E-03,5.89844E-02,2.89063E-04
-3.6560E-03,4.96094E-02,5.54688E-04
-3.6520E-03,5.03906E-02,1.19531E-03
-3.6480E-03,4.80469E-02,8.59375E-05
-3.6440E-03,4.80469E-02,-5.07812E-04
-3.6400E-03,4.96094E-02,-2.26562E-04
-3.6360E-03,5.03906E-02,-6.64062E-04
-3.6320E-03,5.82031E-02,2.73438E-04
-3.6280E-03,6.13281E-02,5.39063E-04
-3.6240E-03,6.13281E-02,9.92188E-04
-3.6200E-03,5.50781E-02,9.45313E-04
-3.6160E-03,4.96094E-02,8.98438E-04
-3.6120E-03,5.42969E-02,1.14844E-03
-3.6080E-03,4.88281E-02,5.07813E-04
-3.6040E-03,4.80469E-02,-8.59375E-05
-3.6000E-03,4.49219E-02,7.81250E-06
-3.5960E-03,4.96094E-02,2.26563E-04
-3.5920E-03,5.11719E-02,-4.45312E-04
-3.5880E-03,4.80469E-02,-1.07031E-03
-3.5840E-03,4.57031E-02,-6.48437E-04
-3.5800E-03,5.03906E-02,-8.98437E-04
-3.5760E-03,5.66406E-02,-1.00781E-03
-3.5720E-03,6.21094E-02,-3.04688E-04
-3.5680E-03,6.05469E-02,4.60938E-04
-3.5640E-03,4.88281E-02,2.10938E-04
-3.5600E-03,5.82031E-02,3.51563E-04
-3.5560E-03,5.66406E-02,-2.89062E-04
-3.5520E-03,6.52344E-02,-3.67187E-04
-3.5480E-03,5.82031E-02,-7.81250E-06
-3.5440E-03,5.58594E-02,-1.48437E-04
-3.5400E-03,5.35156E-02,7.81250E-06
-3.5360E-03,5.27344E-02,-1.64063E-04
-3.5320E-03,5.58594E-02,3.90625E-05
-3.5280E-03,5.35156E-02,-3.90625E-05
-3.5240E-03,5.19531E-02,3.82813E-04
-3.5200E-03,4.96094E-02,1.01563E-04
-3.5160E-03,4.49219E-02,2.26563E-04
-3.5120E-03,4.88281E-02,-6.64062E-04
-3.5080E-03,4.57031E-02,-9.76562E-04
-3.5040E-03,4.49219E-02,-1.07031E-03
-3.5000E-03,4.17969E-02,-1.57031E-03
-3.4960E-03,4.17969E-02,-1.36719E-03
-3.4920E-03,4.10156E-02,-1.10156E-03
-3.4880E-03,4.17969E-02,-6.32812E-04
-3.4840E-03,5.89844E-02,2.57813E-04
-3.4800E-03,6.91406E-02,-1.32812E-04
-3.4760E-03,7.07031E-02,-4.60937E-04
-3.4720E-03,6.75781E-02,-4.45312E-04
-3.4680E-03,5.58594E-02,-3.35937E-04
-3.4640E-03,5.27344E-02,-5.39062E-04
-3.4600E-03,5.82031E-02,-4.60937E-04
-3.4560E-03,6.05469E-02,-5.46875E-05
-3.4520E-03,5.89844E-02,-1.32812E-04
-3.4480E-03,5.58594E-02,-2.73437E-04
-3.4440E-03,5.97656E-02,5.85938E-04
-3.4400E-03,5.89844E-02,1.52344E-03
-3.4360E-03,6.13281E-02,1.63281E-03
-3.4320E-03,5.35156E-02,1.39844E-03
-3.4280E-03,5.97656E-02,8.04688E-04
-3.4240E-03,6.13281E-02,2.26563E-04
-3.4200E-03,7.07031E-02,5.39063E-04
-3.4160E-03,7.85156E-02,9.92188E-04
-3.4120E-03,6.60156E-02,1.48438E-04
-3.4080E-03,5.42969E-02,-2.26562E-04
-3.4040E-03,5.03906E-02,-2.10938E-04
-3.4000E-03,5.03906E-02,4.45313E-04
-3.3960E-03,6.13281E-02,1.24219E-03
-3.3920E-03,5.03906E-02,1.24219E-03
-3.3880E-03,4.96094E-02,1.30469E-03
-3.3840E-03,4.57031E-02,1.10156E-03
-3.3800E-03,5.03906E-02,1.32031E-03
-3.3760E-03,5.97656E-02,1.13281E-03
-3.3720E-03,5.74219E-02,1.13281E-03
-3.3680E-03,5.66406E-02,1.16406E-03
-3.3640E-03,5.42969E-02,7.42187E-04
-3.3600E-03,6.21094E-02,1.55469E-03
-3.3560E-03,5.97656E-02,7.42187E-04
-3.3520E-03,5.27344E-02,4.92188E-04
-3.3480E-03,5.11719E-02,2.89063E-04
-3.3440E-03,5.82031E-02,2.42188E-04
-3.3400E-03,6.44531E-02,1.17188E-04
-3.3360E-03,6.44531E-02,-4.60937E-04
-3.3320E-03,5.42969E-02,-4.14062E-04
-3.3280E-03,5.42969E-02,-3.98437E-04
-3.3240E-03,6.28906E-02,-1.02344E-03
-3.3200E-03,6.05469E-02,-7.10937E-04
-3.3160E-03,5.42969E-02,-1.95312E-04
-3.3120E-03,5.42969E-02,-2.42187E-04
-3.3080E-03,6.52344E-02,-1.64063E-04
-3.3040E-03,5.82031E-02,9.29687E-04
-3.3000E-03,5.58594E-02,6.79688E-04
-3.2960E-03,6.36719E-02,8.04688E-04
-3.2920E-03,5.89844E-02,1.79688E-04
-3.2880E-03,5.27344E-02,2.89063E-04
-3.2840E-03,5.35156E-02,-3.04688E-04
-3.2800E-03,4.64844E-02,-3.51563E-04
-3.2760E-03,4.72656E-02,-3.82812E-04
-3.2720E-03,4.57031E-02,3.90625E-05
-3.2680E-03,4.57031E-02,6.32813E-04
-3.2640E-03,4.88281E-02,6.79688E-04
-3.2600E-03,4.33594E-02,5.07813E-04
-3.2560E-03,4.57031E-02,6.79688E-04
-3.2520E-03,4.57031E-02,5.54688E-04
-3.2480E-03,4.64844E-02,3.51563E-04
-3.2440E-03,5.27344E-02,1.79688E-04
-3.2400E-03,6.60156E-02,7.57813E-04
-3.2360E-03,6.44531E-02,4.45313E-04
-3.2320E-03,6.21094E-02,1.95313E-04
-3.2280E-03,5.74219E-02,2.34375E-05
-3.2240E-03,5.58594E-02,1.03906E-03
-3.2200E-03,5.89844E-02,4.29688E-04
-3.2160E-03,5.19531E-02,-1.32812E-04
-3.2120E-03,5.27344E-02,-5.46875E-05
-3.2080E-03,5.50781E-02,1.48438E-04
-3.2040E-03,5.42969E-02,5.46875E-05
-3.2000E-03,5.58594E-02,4.92188E-04
-3.1960E-03,6.05469E-02,5.23438E-04
-3.1920E-03,6.05469E-02,9.14063E-04
-3.1880E-03,5.66406E-02,-2.10938E-04
-3.1840E-03,4.80469E-02,-6.32812E-04
-3.1800E-03,4.72656E-02,-4.92187E-04
-3.1760E-03,5.50781E-02,-8.59375E-05
-3.1720E-03,6.83594E-02,5.70313E-04
-3.1680E-03,6.75781E-02,8.04688E-04
-3.1640E-03,5.89844E-02,-2.34375E-05
-3.1600E-03,6.67969E-02,-2.10938E-04
-3.1560E-03,6.28906E-02,-5.70312E-04
-3.1520E-03,6.60156E-02,2.89063E-04
-3.1480E-03,6.21094E-02,1.79688E-04
-3.1440E-03,5.97656E-02,-3.20312E-04
-3.1400E-03,6.05469E-02,-1.10156E-03
-3.1360E-03,5.89844E-02,-5.54687E-04
-3.1320E-03,5.89844E-02,3.98438E-04
-3.1280E-03,6.21094E-02,-7.81250E-06
-3.1240E-03,5.27344E-02,-6.79687E-04
-3.1200E-03,5.03906E-02,-1.19531E-03
-3.1160E-03,5.74219E-02,-1.02344E-03
-3.1120E-03,6.60156E-02,-2.26562E-04
-3.1080E-03,7.85156E-02,7.57813E-04
-3.1040E-03,7.53906E-02,-1.32812E-04
-3.1000E-03,6.91406E-02,-4.76562E-04
-3.0960E-03,6.75781E-02,-7.26562E-04
-3.0920E-03,6.67969E-02,-4.45312E-04
-3.0880E-03,7.38281E-02,-3.51563E-04
-3.0840E-03,9.17969E-02,-8.59375E-05
-3.0800E-03,9.41406E-02,-2.42187E-04
-3.0760E-03,8.63281E-02,2.10938E-04
-3.0720E-03,7.38281E-02,1.17188E-04
-3.0680E-03,7.14844E-02,-5.39062E-04
-3.0640E-03,5.74219E-02,-1.07031E-03
-3.0600E-03,5.74219E-02,-4.76562E-04
-3.0560E-03,6.36719E-02,-3.67187E-04
-3.0520E-03,5.66406E-02,-7.89062E-04
-3.0480E-03,5.58594E-02,-1.14844E-03
-3.0440E-03,6.44531E-02,-7.03125E-05
-3.0400E-03,6.36719E-02,-5.07812E-04
-3.0360E-03,5.42969E-02,-5.54687E-04
-3.0320E-03,4.57031E-02,-3.04688E-04
-3.0280E-03,4.72656E-02,-3.51563E-04
-3.0240E-03,5.19531E-02,-6.17187E-04
-3.0200E-03,5.50781E-02,-6.79687E-04
-3.0160E-03,5.50781E-02,-2.42187E-04
-3.0120E-03,5.82031E-02,7.03125E-05
-3.0080E-03,5.50781E-02,3.90625E-05
-3.0040E-03,5.42969E-02,-6.17187E-04
-3.0000E-03,4.96094E-02,1.17188E-04
-2.9960E-03,5.03906E-02,2.10938E-04
-2.9920E-03,6.05469E-02,1.48438E-04
-2.9880E-03,5.82031E-02,5.54688E-04
-2.9840E-03,6.13281E-02,-1.48437E-04
-2.9800E-03,6.05469E-02,-5.70312E-04
-2.9760E-03,5.66406E-02,-2.73437E-04
-2.9720E-03,5.74219E-02,2.34375E-05
-2.9680E-03,5.74219E-02,-8.20312E-04
-2.9640E-03,5.58594E-02,-7.26562E-04
-2.9600E-03,4.72656E-02,-8.59375E-05
-2.9560E-03,4.88281E-02,2.34375E-05
-2.9520E-03,4.96094E-02,2.34375E-05
-2.9480E-03,5.58594E-02,-7.42187E-04
-2.9440E-03,4.80469E-02,-1.08594E-03
