[s],CH3[V]
3.2900E-05,5.80898E-02
3.3000E-05,6.16602E-02
3.3100E-05,6.52383E-02
3.3200E-05,6.88008E-02
3.3300E-05,7.26758E-02
3.3400E-05,7.64414E-02
3.3500E-05,8.07070E-02
3.3600E-05,8.46836E-02
3.3700E-05,8.87930E-02
3.3800E-05,9.28867E-02
3.3900E-05,9.71758E-02
3.4000E-05,1.01723E-01
3.4100E-05,1.05793E-01
3.4200E-05,1.10137E-01
3.4300E-05,1.14590E-01
3.4400E-05,1.18887E-01
3.4500E-05,1.23605E-01
3.4600E-05,1.28020E-01
3.4700E-05,1.32527E-01
3.4800E-05,1.36980E-01
3.4900E-05,1.41348E-01
3.5000E-05,1.45871E-01
3.5100E-05,1.50316E-01
3.5200E-05,1.54965E-01
3.5300E-05,1.59082E-01
3.5400E-05,1.63410E-01
3.5500E-05,1.67559E-01
3.5600E-05,1.71785E-01
3.5700E-05,1.76051E-01
3.5800E-05,1.80113E-01
3.5900E-05,1.84176E-01
3.6000E-05,1.88340E-01
3.6100E-05,1.92105E-01
3.6200E-05,1.95668E-01
3.6300E-05,1.99441E-01
3.6400E-05,2.03074E-01
3.6500E-05,2.06566E-01
3.6600E-05,2.09949E-01
3.6700E-05,2.13535E-01
3.6800E-05,2.16746E-01
3.6900E-05,2.19691E-01
3.7000E-05,2.22730E-01
3.7100E-05,2.25551E-01
3.7200E-05,2.28285E-01
3.7300E-05,2.30941E-01
3.7400E-05,2.33184E-01
3.7500E-05,2.35715E-01
3.7600E-05,2.37699E-01
3.7700E-05,2.39848E-01
3.7800E-05,2.41809E-01
3.7900E-05,2.43645E-01
3.8000E-05,2.45395E-01
3.8100E-05,2.47051E-01
3.8200E-05,2.48230E-01
3.8300E-05,2.49566E-01
3.8400E-05,2.50715E-01
3.8500E-05,2.51324E-01
3.8600E-05,2.52160E-01
3.8700E-05,2.52738E-01
3.8800E-05,2.52910E-01
3.8900E-05,2.53449E-01
3.9000E-05,2.53480E-01
3.9100E-05,2.53340E-01
3.9200E-05,2.53121E-01
3.9300E-05,2.52543E-01
3.9400E-05,2.51840E-01
3.9500E-05,2.51230E-01
3.9600E-05,2.50059E-01
3.9700E-05,2.49207E-01
3.9800E-05,2.47863E-01
3.9900E-05,2.46012E-01
4.0000E-05,2.44691E-01
4.0100E-05,2.42824E-01
4.0200E-05,2.40895E-01
4.0300E-05,2.38879E-01
4.0400E-05,2.36457E-01
4.0500E-05,2.33715E-01
4.0600E-05,2.31488E-01
4.0700E-05,2.28965E-01
4.0800E-05,2.25887E-01
4.0900E-05,2.22699E-01
4.1000E-05,2.19340E-01
4.1100E-05,2.16066E-01
4.1200E-05,2.12574E-01
4.1300E-05,2.08629E-01
4.1400E-05,2.04816E-01
4.1500E-05,2.01051E-01
4.1600E-05,1.96910E-01
4.1700E-05,1.92934E-01
4.1800E-05,1.88488E-01
4.1900E-05,1.84051E-01
4.2000E-05,1.79426E-01
4.2100E-05,1.74684E-01
4.2200E-05,1.69957E-01
4.2300E-05,1.65145E-01
4.2400E-05,1.59871E-01
4.2500E-05,1.55051E-01
4.2600E-05,1.49746E-01
4.2700E-05,1.44395E-01
4.2800E-05,1.39160E-01
4.2900E-05,1.33527E-01
4.3000E-05,1.27980E-01
4.3100E-05,1.22379E-01
4.3200E-05,1.17020E-01
4.3300E-05,1.10973E-01
4.3400E-05,1.05316E-01
4.3500E-05,9.96055E-02
4.3600E-05,9.37695E-02
4.3700E-05,8.82070E-02
4.3800E-05,8.23945E-02
4.3900E-05,7.63789E-02
4.4000E-05,7.05820E-02
4.4100E-05,6.47383E-02
4.4200E-05,5.90195E-02
4.4300E-05,5.30820E-02
4.4400E-05,4.71289E-02
4.4500E-05,4.14258E-02
4.4600E-05,3.58555E-02
4.4700E-05,3.01992E-02
4.4800E-05,2.46055E-02
4.4900E-05,1.89336E-02
4.5000E-05,1.29727E-02
4.5100E-05,7.28516E-03
4.5200E-05,1.48828E-03
4.5300E-05,-4.21484E-03
4.5400E-05,-9.88672E-03
4.5500E-05,-1.53086E-02
4.5600E-05,-2.06445E-02
4.5700E-05,-2.59102E-02
4.5800E-05,-3.09180E-02
4.5900E-05,-3.60586E-02
4.6000E-05,-4.09336E-02
4.6100E-05,-4.60898E-02
4.6200E-05,-5.10898E-02
4.6300E-05,-5.55664E-02
4.6400E-05,-6.01289E-02
4.6500E-05,-6.47773E-02
4.6600E-05,-6.92539E-02
4.6700E-05,-7.37148E-02
4.6800E-05,-7.78633E-02
4.6900E-05,-8.23320E-02
4.7000E-05,-8.63555E-02
4.7100E-05,-9.01992E-02
4.7200E-05,-9.39727E-02
4.7300E-05,-9.75117E-02
4.7400E-05,-1.01020E-01
4.7500E-05,-1.04613E-01
4.7600E-05,-1.08043E-01
4.7700E-05,-1.10871E-01
4.7800E-05,-1.13762E-01
4.7900E-05,-1.16371E-01
4.8000E-05,-1.18863E-01
4.8100E-05,-1.21363E-01
4.8200E-05,-1.23598E-01
4.8300E-05,-1.25746E-01
4.8400E-05,-1.27441E-01
4.8500E-05,-1.29129E-01
4.8600E-05,-1.30730E-01
4.8700E-05,-1.31934E-01
4.8800E-05,-1.33379E-01
4.8900E-05,-1.34191E-01
4.9000E-05,-1.35223E-01
4.9100E-05,-1.36035E-01
4.9200E-05,-1.36277E-01
4.9300E-05,-1.36801E-01
4.9400E-05,-1.37020E-01
4.9500E-05,-1.37051E-01
4.9600E-05,-1.36980E-01
4.9700E-05,-1.36371E-01
4.9800E-05,-1.36238E-01
4.9900E-05,-1.35395E-01
5.0000E-05,-1.34652E-01
5.0100E-05,-1.33746E-01
5.0200E-05,-1.32754E-01
5.0300E-05,-1.31340E-01
5.0400E-05,-1.29965E-01
5.0500E-05,-1.28449E-01
5.0600E-05,-1.26754E-01
5.0700E-05,-1.24785E-01
5.0800E-05,-1.22715E-01
5.0900E-05,-1.20527E-01
5.1000E-05,-1.18090E-01
5.1100E-05,-1.15730E-01
5.1200E-05,-1.12996E-01
5.1300E-05,-1.10348E-01
5.1400E-05,-1.07410E-01
5.1500E-05,-1.04230E-01
5.1600E-05,-1.01059E-01
5.1700E-05,-9.77930E-02
5.1800E-05,-9.41914E-02
5.1900E-05,-9.07930E-02
5.2000E-05,-8.70664E-02
5.2100E-05,-8.33633E-02
5.2200E-05,-7.93242E-02
5.2300E-05,-7.51836E-02
5.2400E-05,-7.09570E-02
5.2500E-05,-6.68164E-02
5.2600E-05,-6.25586E-02
5.2700E-05,-5.83164E-02
5.2800E-05,-5.38945E-02
5.2900E-05,-4.93008E-02
5.3000E-05,-4.48555E-02
5.3100E-05,-4.01602E-02
5.3200E-05,-3.54023E-02
5.3300E-05,-3.06289E-02
5.3400E-05,-2.60508E-02
5.3500E-05,-2.13320E-02
5.3600E-05,-1.63398E-02
5.3700E-05,-1.18555E-02
5.3800E-05,-6.51953E-03
5.3900E-05,-1.93359E-03
5.4000E-05,3.30859E-03
5.4100E-05,8.27734E-03
5.4200E-05,1.30977E-02
5.4300E-05,1.79414E-02
5.4400E-05,2.28242E-02
5.4500E-05,2.75898E-02
5.4600E-05,3.22305E-02
5.4700E-05,3.69570E-02
5.4800E-05,4.14180E-02
5.4900E-05,4.59961E-02
5.5000E-05,5.06211E-02
5.5100E-05,5.52852E-02
5.5200E-05,6.01992E-02
5.5300E-05,6.47773E-02
5.5400E-05,6.88398E-02
5.5500E-05,7.33789E-02
5.5600E-05,7.77383E-02
5.5700E-05,8.22227E-02
5.5800E-05,8.63008E-02
5.5900E-05,9.05742E-02
5.6000E-05,9.48711E-02
5.6100E-05,9.89961E-02
5.6200E-05,1.02957E-01
5.6300E-05,1.06480E-01
5.6400E-05,1.10207E-01
5.6500E-05,1.14387E-01
5.6600E-05,1.17934E-01
5.6700E-05,1.21355E-01
5.6800E-05,1.24684E-01
5.6900E-05,1.27863E-01
5.7000E-05,1.31066E-01
5.7100E-05,1.34137E-01
5.7200E-05,1.36949E-01
5.7300E-05,1.39746E-01
5.7400E-05,1.42246E-01
5.7500E-05,1.44801E-01
5.7600E-05,1.47285E-01
5.7700E-05,1.49621E-01
5.7800E-05,1.51559E-01
5.7900E-05,1.53512E-01
5.8000E-05,1.55488E-01
5.8100E-05,1.57035E-01
5.8200E-05,1.58559E-01
5.8300E-05,1.59918E-01
5.8400E-05,1.61223E-01
5.8500E-05,1.62379E-01
5.8600E-05,1.63293E-01
5.8700E-05,1.64145E-01
5.8800E-05,1.64770E-01
5.8900E-05,1.65270E-01
5.9000E-05,1.65410E-01
5.9100E-05,1.65699E-01
5.9200E-05,1.65512E-01
5.9300E-05,1.65582E-01
5.9400E-05,1.65160E-01
5.9500E-05,1.64559E-01
5.9600E-05,1.63996E-01
5.9700E-05,1.63223E-01
5.9800E-05,1.62207E-01
5.9900E-05,1.60980E-01
6.0000E-05,1.59715E-01
6.0100E-05,1.58465E-01
6.0200E-05,1.56926E-01
6.0300E-05,1.55520E-01
6.0400E-05,1.53605E-01
6.0500E-05,1.51527E-01
6.0600E-05,1.49535E-01
6.0700E-05,1.47457E-01
6.0800E-05,1.44887E-01
6.0900E-05,1.42176E-01
6.1000E-05,1.39910E-01
6.1100E-05,1.36926E-01
6.1200E-05,1.34301E-01
6.1300E-05,1.31176E-01
6.1400E-05,1.28066E-01
6.1500E-05,1.25020E-01
6.1600E-05,1.21348E-01
6.1700E-05,1.17957E-01
6.1800E-05,1.14191E-01
6.1900E-05,1.10832E-01
6.2000E-05,1.06879E-01
6.2100E-05,1.03145E-01
6.2200E-05,9.92695E-02
6.2300E-05,9.52383E-02
6.2400E-05,9.14180E-02
6.2500E-05,8.69961E-02
6.2600E-05,8.27227E-02
6.2700E-05,7.85117E-02
6.2800E-05,7.40820E-02
6.2900E-05,6.96367E-02
6.3000E-05,6.50039E-02
6.3100E-05,6.07305E-02
6.3200E-05,5.64648E-02
6.3300E-05,5.14648E-02
6.3400E-05,4.69336E-02
6.3500E-05,4.22070E-02
6.3600E-05,3.75898E-02
6.3700E-05,3.29180E-02
6.3800E-05,2.83398E-02
6.3900E-05,2.36680E-02
6.4000E-05,1.89258E-02
6.4100E-05,1.38867E-02
6.4200E-05,9.12891E-03
6.4300E-05,4.15234E-03
6.4400E-05,-8.86719E-04
6.4500E-05,-5.84766E-03
6.4600E-05,-1.06914E-02
6.4700E-05,-1.52070E-02
6.4800E-05,-1.98555E-02
6.4900E-05,-2.41914E-02
6.5000E-05,-2.86992E-02
6.5100E-05,-3.33555E-02
6.5200E-05,-3.76758E-02
6.5300E-05,-4.21836E-02
6.5400E-05,-4.66367E-02
6.5500E-05,-5.08945E-02
6.5600E-05,-5.52148E-02
6.5700E-05,-5.89180E-02
6.5800E-05,-6.30352E-02
6.5900E-05,-6.70820E-02
6.6000E-05,-7.09648E-02
6.6100E-05,-7.48867E-02
6.6200E-05,-7.88789E-02
6.6300E-05,-8.26680E-02
6.6400E-05,-8.61445E-02
6.6500E-05,-8.98086E-02
6.6600E-05,-9.29727E-02
6.6700E-05,-9.61758E-02
6.6800E-05,-9.96133E-02
6.6900E-05,-1.02480E-01
6.7000E-05,-1.05285E-01
6.7100E-05,-1.08121E-01
6.7200E-05,-1.10832E-01
6.7300E-05,-1.13176E-01
6.7400E-05,-1.15629E-01
6.7500E-05,-1.17785E-01
6.7600E-05,-1.20145E-01
6.7700E-05,-1.21973E-01
6.7800E-05,-1.23832E-01
6.7900E-05,-1.25465E-01
6.8000E-05,-1.27113E-01
6.8100E-05,-1.28730E-01
6.8200E-05,-1.29824E-01
6.8300E-05,-1.31160E-01
6.8400E-05,-1.32215E-01
6.8500E-05,-1.33246E-01
6.8600E-05,-1.34059E-01
6.8700E-05,-1.34793E-01
6.8800E-05,-1.35504E-01
6.8900E-05,-1.35668E-01
6.9000E-05,-1.35879E-01
6.9100E-05,-1.36160E-01
6.9200E-05,-1.36059E-01
6.9300E-05,-1.36035E-01
6.9400E-05,-1.35957E-01
6.9500E-05,-1.35488E-01
6.9600E-05,-1.34895E-01
6.9700E-05,-1.34363E-01
6.9800E-05,-1.33676E-01
6.9900E-05,-1.32699E-01
7.0000E-05,-1.31824E-01
7.0100E-05,-1.30707E-01
7.0200E-05,-1.29512E-01
7.0300E-05,-1.27934E-01
7.0400E-05,-1.26418E-01
7.0500E-05,-1.25004E-01
7.0600E-05,-1.23215E-01
7.0700E-05,-1.21184E-01
7.0800E-05,-1.19082E-01
7.0900E-05,-1.16902E-01
7.1000E-05,-1.14691E-01
7.1100E-05,-1.12316E-01
7.1200E-05,-1.09637E-01
7.1300E-05,-1.06887E-01
7.1400E-05,-1.04066E-01
7.1500E-05,-1.01191E-01
7.1600E-05,-9.82383E-02
7.1700E-05,-9.50273E-02
7.1800E-05,-9.17227E-02
7.1900E-05,-8.85898E-02
7.2000E-05,-8.50117E-02
7.2100E-05,-8.16523E-02
7.2200E-05,-7.78086E-02
7.2300E-05,-7.40742E-02
7.2400E-05,-7.05195E-02
7.2500E-05,-6.66367E-02
7.2600E-05,-6.27305E-02
7.2700E-05,-5.89492E-02
7.2800E-05,-5.50508E-02
7.2900E-05,-5.09727E-02
7.3000E-05,-4.71133E-02
7.3100E-05,-4.28242E-02
7.3200E-05,-3.86445E-02
7.3300E-05,-3.43320E-02
7.3400E-05,-3.03086E-02
7.3500E-05,-2.60820E-02
7.3600E-05,-2.19414E-02
7.3700E-05,-1.75039E-02
7.3800E-05,-1.32227E-02
7.3900E-05,-8.99609E-03
7.4000E-05,-4.61328E-03
7.4100E-05,-4.25781E-04
7.4200E-05,4.09766E-03
7.4300E-05,8.61328E-03
7.4400E-05,1.28945E-02
7.4500E-05,1.70977E-02
7.4600E-05,2.12461E-02
7.4700E-05,2.55039E-02
7.4800E-05,2.92305E-02
7.4900E-05,3.35430E-02
7.5000E-05,3.74570E-02
7.5100E-05,4.13555E-02
7.5200E-05,4.52461E-02
7.5300E-05,4.91758E-02
7.5400E-05,5.29727E-02
7.5500E-05,5.67227E-02
7.5600E-05,6.05586E-02
7.5700E-05,6.41133E-02
7.5800E-05,6.77070E-02
7.5900E-05,7.12539E-02
7.6000E-05,7.45117E-02
7.6100E-05,7.81992E-02
7.6200E-05,8.13477E-02
7.6300E-05,8.46602E-02
7.6400E-05,8.75586E-02
7.6500E-05,9.08242E-02
7.6600E-05,9.32695E-02
7.6700E-05,9.64961E-02
7.6800E-05,9.89414E-02
7.6900E-05,1.01723E-01
7.7000E-05,1.04066E-01
7.7100E-05,1.06230E-01
7.7200E-05,1.08754E-01
7.7300E-05,1.10605E-01
7.7400E-05,1.12785E-01
7.7500E-05,1.14590E-01
7.7600E-05,1.16340E-01
7.7700E-05,1.17996E-01
7.7800E-05,1.19629E-01
7.7900E-05,1.21176E-01
7.8000E-05,1.22348E-01
7.8100E-05,1.23707E-01
7.8200E-05,1.24660E-01
7.8300E-05,1.25691E-01
7.8400E-05,1.26605E-01
7.8500E-05,1.27168E-01
7.8600E-05,1.27762E-01
7.8700E-05,1.28176E-01
7.8800E-05,1.28434E-01
7.8900E-05,1.28746E-01
7.9000E-05,1.28707E-01
7.9100E-05,1.28434E-01
7.9200E-05,1.28191E-01
7.9300E-05,1.27895E-01
7.9400E-05,1.27262E-01
7.9500E-05,1.26527E-01
7.9600E-05,1.25871E-01
7.9700E-05,1.25004E-01
7.9800E-05,1.24145E-01
7.9900E-05,1.22762E-01
8.0000E-05,1.21621E-01
8.0100E-05,1.20332E-01
8.0200E-05,1.18559E-01
8.0300E-05,1.16988E-01
8.0400E-05,1.15566E-01
8.0500E-05,1.13395E-01
8.0600E-05,1.11527E-01
8.0700E-05,1.09559E-01
8.0800E-05,1.07473E-01
8.0900E-05,1.05051E-01
8.1000E-05,1.02895E-01
8.1100E-05,1.00574E-01
8.1200E-05,9.80039E-02
8.1300E-05,9.54258E-02
8.1400E-05,9.26758E-02
8.1500E-05,8.98945E-02
8.1600E-05,8.68789E-02
8.1700E-05,8.41445E-02
8.1800E-05,8.10898E-02
8.1900E-05,7.79102E-02
8.2000E-05,7.47227E-02
8.2100E-05,7.15195E-02
8.2200E-05,6.83398E-02
8.2300E-05,6.47148E-02
8.2400E-05,6.11445E-02
8.2500E-05,5.78555E-02
8.2600E-05,5.43242E-02
8.2700E-05,5.08633E-02
8.2800E-05,4.70898E-02
8.2900E-05,4.34492E-02
8.3000E-05,4.01914E-02
8.3100E-05,3.65273E-02
8.3200E-05,3.27617E-02
8.3300E-05,2.90898E-02
8.3400E-05,2.52227E-02
8.3500E-05,2.17148E-02
8.3600E-05,1.75508E-02
8.3700E-05,1.38555E-02
8.3800E-05,9.96484E-03
8.3900E-05,6.05859E-03
8.4000E-05,1.74609E-03
8.4100E-05,-2.25391E-03
8.4200E-05,-5.95703E-03
8.4300E-05,-9.99609E-03
8.4400E-05,-1.36523E-02
8.4500E-05,-1.74023E-02
8.4600E-05,-2.12383E-02
8.4700E-05,-2.48164E-02
8.4800E-05,-2.81445E-02
8.4900E-05,-3.16602E-02
8.5000E-05,-3.53164E-02
8.5100E-05,-3.86758E-02
8.5200E-05,-4.23711E-02
8.5300E-05,-4.54883E-02
8.5400E-05,-4.90117E-02
8.5500E-05,-5.20117E-02
8.5600E-05,-5.50195E-02
8.5700E-05,-5.84336E-02
8.5800E-05,-6.12148E-02
8.5900E-05,-6.42461E-02
8.6000E-05,-6.70977E-02
8.6100E-05,-6.99414E-02
8.6200E-05,-7.27695E-02
8.6300E-05,-7.56602E-02
8.6400E-05,-7.82227E-02
8.6500E-05,-8.07852E-02
8.6600E-05,-8.31914E-02
8.6700E-05,-8.56836E-02
8.6800E-05,-8.79727E-02
8.6900E-05,-9.00586E-02
8.7000E-05,-9.23164E-02
8.7100E-05,-9.44883E-02
8.7200E-05,-9.64648E-02
8.7300E-05,-9.81992E-02
8.7400E-05,-9.99648E-02
8.7500E-05,-1.01691E-01
8.7600E-05,-1.03199E-01
8.7700E-05,-1.04559E-01
8.7800E-05,-1.05902E-01
8.7900E-05,-1.07246E-01
8.8000E-05,-1.08090E-01
8.8100E-05,-1.09090E-01
8.8200E-05,-1.10020E-01
8.8300E-05,-1.10668E-01
8.8400E-05,-1.11285E-01
8.8500E-05,-1.11887E-01
8.8600E-05,-1.12223E-01
8.8700E-05,-1.12309E-01
8.8800E-05,-1.12707E-01
8.8900E-05,-1.12605E-01
8.9000E-05,-1.12520E-01
8.9100E-05,-1.12426E-01
8.9200E-05,-1.12066E-01
8.9300E-05,-1.11684E-01
8.9400E-05,-1.11230E-01
8.9500E-05,-1.10637E-01
8.9600E-05,-1.10137E-01
8.9700E-05,-1.08973E-01
8.9800E-05,-1.08043E-01
8.9900E-05,-1.07066E-01
9.0000E-05,-1.05809E-01
9.0100E-05,-1.04582E-01
9.0200E-05,-1.03270E-01
9.0300E-05,-1.02027E-01
9.0400E-05,-1.00520E-01
9.0500E-05,-9.87148E-02
9.0600E-05,-9.68789E-02
9.0700E-05,-9.49648E-02
9.0800E-05,-9.30742E-02
9.0900E-05,-9.10898E-02
9.1000E-05,-8.89180E-02
9.1100E-05,-8.64258E-02
9.1200E-05,-8.44336E-02
9.1300E-05,-8.16758E-02
9.1400E-05,-7.94805E-02
9.1500E-05,-7.66680E-02
9.1600E-05,-7.39883E-02
9.1700E-05,-7.13555E-02
9.1800E-05,-6.83633E-02
9.1900E-05,-6.57227E-02
9.2000E-05,-6.28398E-02
9.2100E-05,-6.00117E-02
