[s],CH3[V]
-8.0000E-06,-3.86719E-04
-7.9000E-06,-3.47656E-04
-7.8000E-06,-2.46094E-04
-7.7000E-06,-1.21094E-04
-7.6000E-06,-2.46094E-04
-7.5000E-06,-1.91406E-04
-7.4000E-06,-1.36719E-04
-7.3000E-06,-2.22656E-04
-7.2000E-06,-2.77344E-04
-7.1000E-06,-1.28906E-04
-7.0000E-06,-2.07031E-04
-6.9000E-06,-2.73437E-05
-6.8000E-06,-3.32031E-04
-6.7000E-06,-4.02344E-04
-6.6000E-06,-1.28906E-04
-6.5000E-06,-4.17969E-04
-6.4000E-06,-3.78906E-04
-6.3000E-06,-2.77344E-04
-6.2000E-06,-2.77344E-04
-6.1000E-06,-2.77344E-04
-6.0000E-06,-3.39844E-04
-5.9000E-06,-4.49219E-04
-5.8000E-06,-4.17969E-04
-5.7000E-06,-4.57031E-04
-5.6000E-06,-4.49219E-04
-5.5000E-06,-4.02344E-04
-5.4000E-06,-5.19531E-04
-5.3000E-06,-4.96094E-04
-5.2000E-06,-5.27344E-04
-5.1000E-06,-3.32031E-04
-5.0000E-06,-3.32031E-04
-4.9000E-06,-2.46094E-04
-4.8000E-06,-2.77344E-04
-4.7000E-06,-4.49219E-04
-4.6000E-06,-4.02344E-04
-4.5000E-06,-2.22656E-04
-4.4000E-06,-3.55469E-04
-4.3000E-06,-3.71094E-04
-4.2000E-06,-2.07031E-04
-4.1000E-06,-3.78906E-04
-4.0000E-06,-4.17969E-04
-3.9000E-06,-2.30469E-04
-3.8000E-06,-1.67969E-04
-3.7000E-06,-2.07031E-04
-3.6000E-06,-3.55469E-04
-3.5000E-06,-2.30469E-04
-3.4000E-06,-3.16406E-04
-3.3000E-06,-4.17969E-04
-3.2000E-06,-4.17969E-04
-3.1000E-06,-4.17969E-04
-3.0000E-06,-6.52344E-04
-2.9000E-06,-4.10156E-04
-2.8000E-06,-4.72656E-04
-2.7000E-06,-4.88281E-04
-2.6000E-06,-3.32031E-04
-2.5000E-06,-4.96094E-04
-2.4000E-06,-5.27344E-04
-2.3000E-06,-5.27344E-04
-2.2000E-06,-5.82031E-04
-2.1000E-06,-5.11719E-04
-2.0000E-06,-6.91406E-04
-1.9000E-06,-4.10156E-04
-1.8000E-06,-6.28906E-04
-1.7000E-06,-7.61719E-04
-1.6000E-06,-6.67969E-04
-1.5000E-06,-6.60156E-04
-1.4000E-06,-8.78906E-04
-1.3000E-06,-8.32031E-04
-1.2000E-06,-1.05859E-03
-1.1000E-06,-1.11328E-03
-1.0000E-06,-1.16016E-03
-9.0000E-07,-1.16016E-03
-8.0000E-07,-1.12109E-03
-7.0000E-07,-1.10547E-03
-6.0000E-07,-1.12109E-03
-5.0000E-07,-1.04297E-03
-4.0000E-07,-1.19922E-03
-3.0000E-07,-1.04297E-03
-2.0000E-07,-1.04297E-03
-1.0000E-07,-1.05859E-03
-5.1000E-21,3.86719E-04
1.0000E-07,-6.36719E-04
2.0000E-07,-6.13281E-04
3.0000E-07,-8.63281E-04
4.0000E-07,-1.16016E-03
5.0000E-07,-9.33594E-04
6.0000E-07,-8.24219E-04
7.0000E-07,-9.02344E-04
8.0000E-07,-9.02344E-04
9.0000E-07,-1.01172E-03
1.0000E-06,-8.47656E-04
1.1000E-06,-9.17969E-04
1.2000E-06,-8.78906E-04
1.3000E-06,-8.32031E-04
1.4000E-06,-6.28906E-04
1.5000E-06,-7.53906E-04
1.6000E-06,-6.99219E-04
1.7000E-06,-6.83594E-04
1.8000E-06,-5.89844E-04
1.9000E-06,-3.39844E-04
2.0000E-06,-5.19531E-04
2.1000E-06,-4.49219E-04
2.2000E-06,-3.55469E-04
2.3000E-06,-2.92969E-04
2.4000E-06,-1.52344E-04
2.5000E-06,-2.22656E-04
2.6000E-06,-1.21094E-04
2.7000E-06,-1.28906E-04
2.8000E-06,-2.69531E-04
2.9000E-06,-2.73437E-05
3.0000E-06,3.51563E-05
3.1000E-06,1.44531E-04
3.2000E-06,-1.32422E-03
3.3000E-06,-3.55469E-04
3.4000E-06,-1.99219E-04
3.5000E-06,1.75781E-04
3.6000E-06,2.30469E-04
3.7000E-06,2.22656E-04
3.8000E-06,2.85156E-04
3.9000E-06,2.53906E-04
4.0000E-06,4.29688E-05
4.1000E-06,2.30469E-04
4.2000E-06,2.92969E-04
4.3000E-06,3.16406E-04
4.4000E-06,3.86719E-04
4.5000E-06,3.63281E-04
4.6000E-06,4.72656E-04
4.7000E-06,5.74219E-04
4.8000E-06,5.66406E-04
4.9000E-06,4.96094E-04
5.0000E-06,6.05469E-04
5.1000E-06,5.50781E-04
5.2000E-06,5.82031E-04
5.3000E-06,6.75781E-04
5.4000E-06,7.61719E-04
5.5000E-06,7.38281E-04
5.6000E-06,9.02344E-04
5.7000E-06,9.49219E-04
5.8000E-06,8.86719E-04
5.9000E-06,8.32031E-04
6.0000E-06,9.17969E-04
6.1000E-06,1.04297E-03
6.2000E-06,1.13672E-03
6.3000E-06,1.25391E-03
6.4000E-06,1.14453E-03
6.5000E-06,1.27734E-03
6.6000E-06,1.23047E-03
6.7000E-06,1.23047E-03
6.8000E-06,1.00391E-03
6.9000E-06,1.18359E-03
7.0000E-06,1.37109E-03
7.1000E-06,1.49609E-03
7.2000E-06,1.39453E-03
7.3000E-06,1.32422E-03
7.4000E-06,1.60547E-03
7.5000E-06,1.55078E-03
7.6000E-06,1.66797E-03
7.7000E-06,1.44922E-03
7.8000E-06,1.66016E-03
7.9000E-06,1.58203E-03
8.0000E-06,1.58203E-03
8.1000E-06,1.78516E-03
8.2000E-06,1.60547E-03
8.3000E-06,1.80078E-03
8.4000E-06,1.66797E-03
8.5000E-06,1.83984E-03
8.6000E-06,1.81641E-03
8.7000E-06,1.78516E-03
8.8000E-06,1.97266E-03
8.9000E-06,1.72266E-03
9.0000E-06,1.85547E-03
9.1000E-06,1.66016E-03
9.2000E-06,2.08984E-03
9.3000E-06,1.99609E-03
9.4000E-06,1.97266E-03
9.5000E-06,1.83203E-03
9.6000E-06,1.81641E-03
9.7000E-06,2.05078E-03
9.8000E-06,2.06641E-03
9.9000E-06,2.18359E-03
1.0000E-05,2.04297E-03
1.0100E-05,2.23828E-03
1.0200E-05,2.12109E-03
1.0300E-05,2.25391E-03
1.0400E-05,1.99609E-03
1.0500E-05,2.20703E-03
1.0600E-05,2.20703E-03
1.0700E-05,2.16016E-03
1.0800E-05,2.13672E-03
1.0900E-05,2.11328E-03
1.1000E-05,2.30078E-03
1.1100E-05,2.23047E-03
1.1200E-05,2.30078E-03
1.1300E-05,2.40234E-03
1.1400E-05,2.23828E-03
1.1500E-05,2.50391E-03
1.1600E-05,2.47266E-03
1.1700E-05,2.46484E-03
1.1800E-05,2.41016E-03
1.1900E-05,2.48828E-03
1.2000E-05,2.50391E-03
1.2100E-05,2.58203E-03
1.2200E-05,2.55859E-03
1.2300E-05,2.67578E-03
1.2400E-05,2.51172E-03
1.2500E-05,2.55078E-03
1.2600E-05,2.69922E-03
1.2700E-05,2.71484E-03
1.2800E-05,2.66016E-03
1.2900E-05,2.51172E-03
1.3000E-05,2.55859E-03
1.3100E-05,2.57422E-03
1.3200E-05,2.69141E-03
1.3300E-05,2.80078E-03
1.3400E-05,2.61328E-03
1.3500E-05,2.62891E-03
1.3600E-05,2.72266E-03
1.3700E-05,2.73047E-03
1.3800E-05,2.65234E-03
1.3900E-05,2.66016E-03
1.4000E-05,2.71484E-03
1.4100E-05,2.95703E-03
1.4200E-05,2.85547E-03
1.4300E-05,2.76953E-03
