[s],CH2[V],CH3[V]
-1.3200E-04,4.57031E-02,-4.11719E-03
-1.3160E-04,5.27344E-02,-4.47656E-03
-1.3120E-04,5.97656E-02,-4.32031E-03
-1.3080E-04,5.35156E-02,-4.00781E-03
-1.3040E-04,4.80469E-02,-3.92969E-03
-1.3000E-04,5.42969E-02,-3.28906E-03
-1.2960E-04,4.80469E-02,-2.80469E-03
-1.2920E-04,6.52344E-02,-2.74219E-03
-1.2880E-04,5.27344E-02,-2.67969E-03
-1.2840E-04,5.35156E-02,-3.00781E-03
-1.2800E-04,4.96094E-02,-2.82031E-03
-1.2760E-04,4.57031E-02,-2.57031E-03
-1.2720E-04,4.72656E-02,-2.94531E-03
-1.2680E-04,4.72656E-02,-2.58594E-03
-1.2640E-04,4.72656E-02,-2.99219E-03
-1.2600E-04,4.64844E-02,-2.60156E-03
-1.2560E-04,3.71094E-02,-2.50781E-03
-1.2520E-04,3.63281E-02,-2.64844E-03
-1.2480E-04,4.57031E-02,-3.00781E-03
-1.2440E-04,4.10156E-02,-3.33594E-03
-1.2400E-04,4.10156E-02,-3.50781E-03
-1.2360E-04,3.71094E-02,-3.19531E-03
-1.2320E-04,3.71094E-02,-3.47656E-03
-1.2280E-04,3.55469E-02,-3.35156E-03
-1.2240E-04,2.53906E-02,-3.41406E-03
-1.2200E-04,3.71094E-02,-3.52344E-03
-1.2160E-04,3.55469E-02,-3.69531E-03
-1.2120E-04,4.80469E-02,-3.85156E-03
-1.2080E-04,3.71094E-02,-3.99219E-03
-1.2040E-04,3.32031E-02,-3.64844E-03
-1.2000E-04,4.72656E-02,-3.89844E-03
-1.1960E-04,3.94531E-02,-3.97656E-03
-1.1920E-04,4.25781E-02,-4.41406E-03
-1.1880E-04,3.32031E-02,-4.25781E-03
-1.1840E-04,3.71094E-02,-4.21094E-03
-1.1800E-04,4.33594E-02,-4.14844E-03
-1.1760E-04,3.86719E-02,-4.03906E-03
-1.1720E-04,3.32031E-02,-4.00781E-03
-1.1680E-04,4.72656E-02,-3.94531E-03
-1.1640E-04,4.02344E-02,-4.07031E-03
