[s],CH2[V],CH3[V]
1.2224E-03,3.20977E+00,1.10086E-01
1.2325E-03,3.08242E+00,1.01336E-01
1.2426E-03,2.94961E+00,9.22422E-02
1.2526E-03,2.81914E+00,8.44922E-02
1.2627E-03,2.67305E+00,7.58203E-02
1.2728E-03,2.53633E+00,6.85078E-02
1.2829E-03,2.39492E+00,6.17734E-02
1.2930E-03,2.26367E+00,5.51484E-02
1.3030E-03,2.14648E+00,4.85078E-02
1.3131E-03,2.01992E+00,4.22422E-02
1.3232E-03,1.88242E+00,3.63828E-02
1.3333E-03,1.75742E+00,3.16641E-02
1.3434E-03,1.63008E+00,2.81328E-02
1.3534E-03,1.50742E+00,2.41641E-02
1.3635E-03,1.39648E+00,2.06641E-02
1.3736E-03,1.29727E+00,1.75078E-02
1.3837E-03,1.19180E+00,1.37109E-02
1.3938E-03,1.09336E+00,1.04453E-02
1.4038E-03,9.98828E-01,7.58594E-03
1.4139E-03,8.83984E-01,5.85156E-03
1.4240E-03,8.05078E-01,4.07031E-03
1.4341E-03,7.34766E-01,3.66406E-03
1.4442E-03,6.34766E-01,3.10156E-03
1.4542E-03,5.70703E-01,2.28906E-03
1.4643E-03,4.96484E-01,2.10156E-03
1.4744E-03,4.30078E-01,1.53906E-03
1.4845E-03,3.78516E-01,1.32031E-03
1.4946E-03,2.96484E-01,1.67969E-03
1.5046E-03,1.38672E-01,1.57031E-03
1.5147E-03,3.00781E-02,1.44531E-03
1.5248E-03,1.17188E-03,1.49219E-03
1.5349E-03,9.41406E-02,6.66406E-03
1.5450E-03,3.94922E-01,2.30703E-02
1.5550E-03,5.62891E-01,3.40078E-02
1.5651E-03,6.49609E-01,4.21328E-02
1.5752E-03,7.46484E-01,4.86172E-02
1.5853E-03,8.19141E-01,5.52109E-02
1.5954E-03,9.03516E-01,6.15703E-02
1.6054E-03,9.96484E-01,6.89609E-02
1.6155E-03,1.07773E+00,7.73984E-02
1.6256E-03,1.16992E+00,8.59922E-02
1.6357E-03,1.24727E+00,9.34609E-02
1.6458E-03,1.34961E+00,1.02336E-01
1.6558E-03,1.45039E+00,1.12305E-01
1.6659E-03,1.56523E+00,1.22273E-01
1.6760E-03,1.68711E+00,1.32852E-01
1.6861E-03,1.80195E+00,1.42898E-01
1.6962E-03,1.92227E+00,1.54039E-01
1.7062E-03,2.04414E+00,1.65242E-01
1.7163E-03,2.17539E+00,1.76477E-01
1.7264E-03,2.29805E+00,1.87602E-01
1.7365E-03,2.43086E+00,1.99523E-01
1.7466E-03,2.56836E+00,2.10867E-01
1.7566E-03,2.71523E+00,2.22273E-01
1.7667E-03,2.86523E+00,2.32852E-01
1.7768E-03,2.98398E+00,2.43133E-01
1.7869E-03,3.11367E+00,2.54086E-01
1.7970E-03,3.25820E+00,2.64742E-01
1.8070E-03,3.38164E+00,2.74664E-01
1.8171E-03,3.50273E+00,2.83445E-01
1.8272E-03,3.62539E+00,2.93133E-01
1.8373E-03,3.75273E+00,3.02008E-01
1.8474E-03,3.87852E+00,3.09883E-01
1.8574E-03,3.98320E+00,3.16961E-01
1.8675E-03,4.09805E+00,3.24383E-01
1.8776E-03,4.18867E+00,3.31070E-01
1.8877E-03,4.29961E+00,3.36758E-01
1.8978E-03,4.40508E+00,3.42664E-01
1.9078E-03,4.49883E+00,3.47586E-01
1.9179E-03,4.56367E+00,3.50289E-01
1.9280E-03,4.63398E+00,3.53039E-01
1.9381E-03,4.69961E+00,3.55414E-01
1.9482E-03,4.75195E+00,3.56461E-01
1.9582E-03,4.79961E+00,3.56977E-01
1.9683E-03,4.84883E+00,3.56414E-01
1.9784E-03,4.87930E+00,3.54898E-01
1.9885E-03,4.90117E+00,3.52820E-01
1.9986E-03,4.91289E+00,3.50164E-01
2.0086E-03,4.93164E+00,3.47742E-01
2.0187E-03,4.92305E+00,3.43133E-01
2.0288E-03,4.91758E+00,3.38586E-01
2.0389E-03,4.91133E+00,3.34102E-01
2.0490E-03,4.88633E+00,3.27805E-01
2.0590E-03,4.86211E+00,3.20977E-01
2.0691E-03,4.81445E+00,3.13477E-01
2.0792E-03,4.75742E+00,3.04570E-01
2.0893E-03,4.69961E+00,2.96398E-01
2.0994E-03,4.65039E+00,2.88914E-01
2.1094E-03,4.56992E+00,2.79586E-01
2.1195E-03,4.49727E+00,2.71383E-01
2.1296E-03,4.39883E+00,2.60648E-01
2.1397E-03,4.30742E+00,2.51258E-01
2.1498E-03,4.18633E+00,2.39867E-01
2.1598E-03,4.09336E+00,2.29008E-01
2.1699E-03,3.98242E+00,2.18367E-01
2.1800E-03,3.86836E+00,2.08555E-01
2.1901E-03,3.72852E+00,1.98133E-01
2.2002E-03,3.61211E+00,1.87898E-01
2.2102E-03,3.49023E+00,1.77477E-01
2.2203E-03,3.35977E+00,1.68039E-01
2.2304E-03,3.23008E+00,1.57711E-01
2.2405E-03,3.08477E+00,1.47211E-01
2.2506E-03,2.93398E+00,1.37539E-01
2.2606E-03,2.78477E+00,1.28008E-01
2.2707E-03,2.63945E+00,1.19617E-01
2.2808E-03,2.47930E+00,1.11086E-01
2.2909E-03,2.35195E+00,1.02664E-01
2.3010E-03,2.20977E+00,9.50703E-02
2.3110E-03,2.06602E+00,8.79766E-02
2.3211E-03,1.92930E+00,8.09922E-02
2.3312E-03,1.79727E+00,7.42109E-02
2.3413E-03,1.65820E+00,6.77891E-02
2.3514E-03,1.53164E+00,6.26641E-02
2.3614E-03,1.41055E+00,5.73828E-02
2.3715E-03,1.28477E+00,5.18828E-02
2.3816E-03,1.17461E+00,4.76641E-02
2.3917E-03,1.08555E+00,4.47422E-02
2.4018E-03,9.90234E-01,4.10078E-02
2.4118E-03,8.79297E-01,3.77578E-02
2.4219E-03,7.84766E-01,3.42891E-02
2.4320E-03,6.81641E-01,3.11172E-02
2.4421E-03,6.12891E-01,2.94609E-02
2.4522E-03,5.69141E-01,2.81641E-02
2.4622E-03,5.04297E-01,2.65391E-02
2.4723E-03,4.37109E-01,2.41172E-02
2.4824E-03,4.17578E-01,2.37109E-02
2.4925E-03,4.01172E-01,2.24297E-02
2.5026E-03,2.39453E-01,1.22109E-02
2.5126E-03,6.99219E-02,4.11719E-03
2.5227E-03,1.21094E-02,1.13281E-03
2.5328E-03,5.03906E-02,2.02344E-03
2.5429E-03,3.16797E-01,1.02422E-02
